Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,96.206001,96.300003,95.699997,95.699997,95.699997,0
2003-12-02,95.956001,96.139000,95.900002,95.900002,95.900002,0
2003-12-03,96.079002,96.237999,96.073997,95.900002,95.900002,0
2003-12-04,96.181999,96.345001,96.181999,95.900002,95.900002,0
2003-12-05,96.317001,96.385002,96.209000,96.283997,96.283997,0
2003-12-08,96.273003,96.375000,96.238998,96.150002,96.150002,0
2003-12-09,96.220001,96.375000,96.028000,96.150002,96.150002,0
2003-12-10,96.248001,96.334999,96.056000,96.150002,96.150002,0
2003-12-11,96.333000,96.487999,96.199997,96.199997,96.199997,0
2003-12-12,96.470001,96.565002,96.041000,96.199997,96.199997,0
2003-12-15,96.445000,96.525002,95.849998,95.849998,95.849998,0
2003-12-16,96.400002,96.455002,95.897003,95.947998,95.947998,0
2003-12-17,96.299004,96.385002,95.856003,96.300003,96.300003,0
2003-12-18,96.138000,96.300003,95.707001,96.300003,96.300003,0
2003-12-19,96.108002,96.160004,95.595001,95.595001,95.595001,0
2003-12-22,96.038002,96.135002,95.640999,96.000000,96.000000,0
2003-12-23,96.150002,98.010002,95.748001,96.000000,96.000000,0
2003-12-24,96.000000,96.000000,96.000000,96.000000,96.000000,0
2003-12-25,96.000000,96.000000,96.000000,96.000000,96.000000,0
2003-12-26,null,null,null,null,null,null
2003-12-29,96.507004,96.574997,96.000000,96.000000,96.000000,0
2003-12-30,96.554001,96.675003,96.097000,96.400002,96.400002,0
2003-12-31,96.650002,96.650002,96.650002,96.650002,96.650002,0
2004-01-01,96.650002,96.650002,96.650002,96.650002,96.650002,0
2004-01-02,97.114998,97.525002,96.992996,97.044998,97.044998,0
2004-01-05,97.386002,97.605003,97.077003,97.250000,97.250000,0
2004-01-06,97.697998,97.824997,97.500000,97.500000,97.500000,0
2004-01-07,97.824997,97.824997,97.558998,97.500000,97.500000,0
2004-01-08,97.813004,97.864998,97.560997,97.680000,97.680000,0
2004-01-09,97.514000,97.660004,97.304001,97.577003,97.577003,0
2004-01-12,97.898003,98.074997,97.750000,97.750000,97.750000,0
2004-01-13,97.821999,97.915001,97.750000,97.750000,97.750000,0
2004-01-14,97.915001,98.080002,97.699997,97.849998,97.849998,0
2004-01-15,97.824997,97.824997,97.723000,97.849998,97.849998,0
2004-01-16,98.025002,98.135002,97.849998,97.849998,97.849998,0
2004-01-19,98.050003,98.105003,97.968002,97.849998,97.849998,0
2004-01-20,98.224998,98.455002,98.129997,98.425003,98.425003,0
2004-01-21,97.849998,98.925003,97.849998,97.849998,97.849998,0
2004-01-22,98.275002,98.275002,98.087997,97.849998,97.849998,0
2004-01-23,98.254997,98.324997,98.161003,97.849998,97.849998,0
2004-01-26,98.095001,98.095001,97.675003,97.849998,97.849998,0
2004-01-27,97.089996,97.224998,96.949997,96.949997,96.949997,0
2004-01-28,97.425003,97.474998,96.949997,96.949997,96.949997,0
2004-01-29,97.375000,97.410004,97.099998,97.099998,97.099998,0
2004-01-30,97.275002,97.275002,96.956001,97.205002,97.205002,0
2004-02-02,97.205002,97.205002,97.099998,97.099998,97.099998,0
2004-02-03,97.099998,97.334999,97.099998,97.334999,97.334999,0
2004-02-04,97.334999,97.334999,97.240997,97.099998,97.099998,0
2004-02-05,97.334999,97.334999,97.238998,97.099998,97.099998,0
2004-02-06,97.445000,97.485001,97.189003,97.485001,97.485001,0
2004-02-09,98.625000,98.675003,97.500000,97.500000,97.500000,0
2004-02-10,98.275002,98.875000,97.500000,97.500000,97.500000,0
2004-02-11,98.400002,98.974998,98.029999,98.400002,98.400002,0
2004-02-12,98.394997,98.394997,98.248001,98.400002,98.400002,0
2004-02-13,98.400002,99.004997,98.337997,98.495003,98.495003,0
2004-02-16,98.800003,98.900002,98.400002,98.400002,98.400002,0
2004-02-17,98.949997,99.175003,98.864998,98.900002,98.900002,0
2004-02-18,99.025002,99.025002,98.699997,98.699997,98.699997,0
2004-02-19,99.025002,99.250000,98.702003,99.000000,99.000000,0
2004-02-20,98.845001,98.845001,98.712997,98.845001,98.845001,0
2004-02-23,98.845001,99.025002,98.669998,98.669998,98.669998,0
2004-02-24,98.900002,98.974998,98.500000,98.500000,98.500000,0
2004-02-25,98.875000,99.050003,98.870003,99.000000,99.000000,0
2004-02-26,98.925003,98.925003,98.661003,98.680000,98.680000,0
2004-02-27,98.745003,98.745003,98.306999,98.529999,98.529999,0
2004-03-01,98.514999,98.529999,97.920998,98.529999,98.529999,0
2004-03-02,97.775002,97.775002,97.259003,97.500000,97.500000,0
2004-03-03,96.775002,96.824997,96.461998,96.800003,96.800003,0
2004-03-04,96.925003,97.000000,96.599998,96.599998,96.599998,0
2004-03-05,96.824997,96.824997,96.158997,96.521004,96.521004,0
2004-03-08,96.500000,96.693001,96.495003,96.500000,96.500000,0
2004-03-09,96.736000,96.824997,96.500000,96.500000,96.500000,0
2004-03-10,96.736000,96.925003,96.624001,96.500000,96.500000,0
2004-03-11,97.179001,97.269997,97.050003,97.050003,97.050003,0
2004-03-12,97.289001,97.625000,97.223000,97.250000,97.250000,0
2004-03-15,97.288002,97.523003,97.234001,97.300003,97.300003,0
2004-03-16,97.383003,97.525002,97.300003,97.300003,97.300003,0
2004-03-17,97.370003,97.504997,97.319000,97.300003,97.300003,0
2004-03-18,97.422997,97.541000,97.300003,97.300003,97.300003,0
2004-03-19,97.393997,97.555000,97.325996,97.503998,97.503998,0
2004-03-22,97.383003,97.422997,97.330002,97.400002,97.400002,0
2004-03-23,97.389000,97.554001,97.216003,97.400002,97.400002,0
2004-03-24,97.486000,97.555000,97.383003,97.400002,97.400002,0
2004-03-25,97.444000,97.675003,97.389999,97.400002,97.400002,0
2004-03-26,97.168999,97.324997,97.084999,97.400002,97.400002,0
