Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,8.267000,8.267201,8.267000,8.267201,8.267201,0
2003-12-02,8.257200,8.267201,8.257200,8.267201,8.267201,0
2003-12-03,8.267201,8.267201,8.267100,8.267100,8.267100,0
2003-12-04,8.267100,8.267100,8.267000,8.267000,8.267000,0
2003-12-05,8.267000,8.267000,8.266900,8.266900,8.266900,0
2003-12-08,8.266900,8.267100,8.266900,8.267100,8.267100,0
2003-12-09,8.267100,8.267100,8.267100,8.267100,8.267100,0
2003-12-10,8.267100,8.267100,8.267000,8.267000,8.267000,0
2003-12-11,8.267000,8.267100,8.267000,8.267100,8.267100,0
2003-12-12,8.267100,8.267100,8.267100,8.267100,8.267100,0
2003-12-15,8.267201,8.267201,8.267201,8.267201,8.267201,0
2003-12-16,8.267201,8.267201,8.267100,8.267100,8.267100,0
2003-12-17,8.267100,8.267100,8.266900,8.266900,8.266900,0
2003-12-18,8.266900,8.266900,8.266900,8.266900,8.266900,0
2003-12-19,8.266900,8.267000,8.266900,8.267000,8.267000,0
2003-12-22,8.267000,8.267000,8.266900,8.266900,8.266900,0
2003-12-23,8.266900,8.266900,8.266800,8.266800,8.266800,0
2003-12-24,null,null,null,null,null,null
2003-12-25,null,null,null,null,null,null
2003-12-26,null,null,null,null,null,null
2003-12-29,8.266800,8.266900,8.266800,8.266900,8.266900,0
2003-12-30,8.266900,8.266900,8.266700,8.266700,8.266700,0
2003-12-31,null,null,null,null,null,null
2004-01-01,null,null,null,null,null,null
2004-01-02,8.266700,8.266900,8.266700,8.266900,8.266900,0
2004-01-05,8.266900,8.267000,8.266900,8.267000,8.267000,0
2004-01-06,8.267000,8.267100,8.267000,8.267100,8.267100,0
2004-01-07,8.267100,8.267201,8.267100,8.267201,8.267201,0
2004-01-08,8.267201,8.267201,8.257200,8.267201,8.267201,0
2004-01-09,8.267201,8.267201,8.257000,8.267000,8.267000,0
2004-01-12,8.267000,8.267000,8.267000,8.267000,8.267000,0
2004-01-13,8.267000,8.267000,8.266800,8.266800,8.266800,0
2004-01-14,8.266800,8.266800,8.256800,8.266800,8.266800,0
2004-01-15,8.266800,8.266800,8.266700,8.266700,8.266700,0
2004-01-16,8.266700,8.266700,8.266700,8.266700,8.266700,0
2004-01-19,8.266600,8.266800,8.266600,8.266800,8.266800,0
2004-01-20,8.266800,8.267000,8.266800,8.267000,8.267000,0
2004-01-21,8.267000,8.267100,8.267000,8.267100,8.267100,0
2004-01-22,8.267100,8.267100,8.267100,8.267100,8.267100,0
2004-01-23,8.267100,8.267100,8.267100,8.267100,8.267100,0
2004-01-26,8.267100,8.267100,8.267100,8.267100,8.267100,0
2004-01-27,8.267100,8.267100,8.267100,8.267100,8.267100,0
2004-01-28,8.267100,8.267100,8.267100,8.267100,8.267100,0
2004-01-29,8.267100,8.267100,8.267000,8.267000,8.267000,0
2004-01-30,8.267000,8.267000,8.256800,8.266800,8.266800,0
2004-02-02,8.266800,8.267000,8.266800,8.267000,8.267000,0
2004-02-03,8.267201,8.267201,8.267201,8.267201,8.267201,0
2004-02-04,8.267201,8.267201,8.267201,8.267201,8.267201,0
2004-02-05,8.267201,8.267300,8.267201,8.267300,8.267300,0
2004-02-06,8.267300,8.267300,8.257300,8.267300,8.267300,0
2004-02-09,8.267300,8.267300,8.267300,8.267300,8.267300,0
2004-02-10,8.267300,8.267300,8.267201,8.267201,8.267201,0
2004-02-11,8.267201,8.267201,8.267100,8.267100,8.267100,0
2004-02-12,8.267100,8.267201,8.267100,8.267201,8.267201,0
2004-02-13,8.267201,8.267201,8.267000,8.267000,8.267000,0
2004-02-16,8.267000,8.267201,8.267000,8.267201,8.267201,0
2004-02-17,8.267201,8.267201,8.267000,8.267000,8.267000,0
2004-02-18,8.267000,8.267000,8.267000,8.267000,8.267000,0
2004-02-19,8.267000,8.267100,8.267000,8.267100,8.267100,0
2004-02-20,8.267100,8.267201,8.267100,8.267201,8.267201,0
2004-02-23,8.267201,8.267201,8.267201,8.267201,8.267201,0
2004-02-24,8.267201,8.267201,8.267100,8.267100,8.267100,0
2004-02-25,8.267100,8.267100,8.267000,8.267000,8.267000,0
2004-02-26,8.267000,8.267000,8.267000,8.267000,8.267000,0
2004-02-27,8.267000,8.267000,8.266900,8.266900,8.266900,0
2004-03-01,8.266900,8.266900,8.266800,8.266800,8.266800,0
2004-03-02,8.266800,8.266800,8.256800,8.266800,8.266800,0
2004-03-03,8.266800,8.266800,8.266800,8.266800,8.266800,0
2004-03-04,8.266800,8.267000,8.266800,8.267000,8.267000,0
2004-03-05,8.267000,8.267300,8.257300,8.267300,8.267300,0
2004-03-08,8.267201,8.267300,8.266700,8.266700,8.266700,0
2004-03-09,8.266700,8.266700,8.266700,8.266700,8.266700,0
2004-03-10,8.266700,8.266700,8.256700,8.266700,8.266700,0
2004-03-11,8.266700,8.267201,8.266700,8.267201,8.267201,0
2004-03-12,8.267201,8.267201,8.267100,8.267100,8.267100,0
2004-03-15,8.267100,8.267300,8.267100,8.267300,8.267300,0
2004-03-16,8.267300,8.267300,8.267300,8.267300,8.267300,0
2004-03-17,8.267300,8.267400,8.267300,8.267400,8.267400,0
2004-03-18,8.266800,8.266800,8.266800,8.266800,8.266800,0
2004-03-19,8.266800,8.267201,8.266800,8.267201,8.267201,0
2004-03-22,8.267201,8.267600,8.267201,8.267300,8.267300,0
2004-03-23,8.267500,8.267600,8.267400,8.267400,8.267400,0
2004-03-24,8.267300,8.267300,8.267201,8.267201,8.267201,0
2004-03-25,8.267300,8.267300,8.267100,8.267100,8.267100,0
2004-03-26,8.267100,8.267201,8.266800,8.267000,8.267000,0
2004-03-29,8.266700,8.267100,8.266700,8.267100,8.267100,0
2004-03-30,8.267100,8.267100,8.267100,8.267100,8.267100,0
2004-03-31,8.267100,8.267100,8.267000,8.267000,8.267000,0
2004-04-01,8.267000,8.267000,8.256900,8.266900,8.266900,0
2004-04-02,8.266900,8.266900,8.246900,8.266900,8.266900,0
2004-04-05,8.266900,8.266900,8.266900,8.266900,8.266900,0
2004-04-06,8.266900,8.266900,8.266900,8.266900,8.266900,0
2004-04-07,8.266900,8.266900,8.266900,8.266900,8.266900,0
2004-04-08,8.266900,8.266900,8.266900,8.266900,8.266900,0
2004-04-09,null,null,null,null,null,null
2004-04-12,null,null,null,null,null,null
2004-04-13,8.267000,8.267000,8.266900,8.266900,8.266900,0
2004-04-14,8.266900,8.267201,8.266900,8.267201,8.267201,0
2004-04-15,8.267201,8.267201,8.267100,8.267100,8.267100,0
2004-04-16,8.267100,8.267100,8.266900,8.266900,8.266900,0
2004-04-19,8.266900,8.266900,8.266800,8.266800,8.266800,0
2004-04-20,8.267100,8.267100,8.256800,8.266800,8.266800,0
2004-04-21,8.266800,8.266900,8.256900,8.266900,8.266900,0
2004-04-22,8.266900,8.267000,8.266900,8.267000,8.267000,0
2004-04-23,8.267000,8.267000,8.256900,8.266900,8.266900,0
2004-04-26,8.266900,8.266900,8.266800,8.266800,8.266800,0
2004-04-27,8.266800,8.266800,8.256800,8.266800,8.266800,0
2004-04-28,8.266800,8.266800,8.266800,8.246801,8.246801,0
2004-04-29,8.266800,8.266900,8.256900,8.266900,8.266900,0
2004-04-30,8.266900,8.267100,8.266900,8.267100,8.267100,0
2004-05-03,8.267100,8.267100,8.267100,8.267100,8.267100,0
2004-05-04,8.267100,8.267100,8.267100,8.267100,8.267100,0
2004-05-05,8.267100,8.267100,8.267100,8.267100,8.267100,0
2004-05-06,8.267100,8.267100,8.267100,8.267100,8.267100,0
2004-05-07,8.267100,8.267100,8.237100,8.267100,8.267100,0
2004-05-10,8.267000,8.267000,8.266900,8.266900,8.266900,0
2004-05-11,8.266900,8.267300,8.266900,8.267300,8.267300,0
2004-05-12,8.267300,8.267300,8.267300,8.267300,8.267300,0
2004-05-13,8.267300,8.267300,8.267201,8.267201,8.267201,0
2004-05-14,8.267201,8.267201,8.257200,8.267201,8.267201,0
2004-05-17,8.267201,8.267201,8.267201,8.267201,8.267201,0
2004-05-18,8.267201,8.267201,8.267100,8.267100,8.267100,0
2004-05-19,8.267100,8.267100,8.266900,8.266900,8.266900,0
2004-05-20,null,null,null,null,null,null
2004-05-21,8.267100,8.267100,8.267100,8.267100,8.267100,0
2004-05-24,8.267100,8.267100,8.267100,8.267100,8.267100,0
2004-05-25,8.267000,8.267000,8.266900,8.266900,8.266900,0
2004-05-26,8.266900,8.266900,8.266900,8.266900,8.266900,0
2004-05-27,8.266800,8.266800,8.266800,8.266800,8.266800,0
2004-05-28,8.266800,8.266900,8.266800,8.266900,8.266900,0
2004-05-31,null,null,null,null,null,null
2004-06-01,8.266800,8.266800,8.266700,8.266700,8.266700,0
2004-06-02,8.266700,8.266700,8.266700,8.266700,8.266700,0
2004-06-03,8.266700,8.266800,8.266700,8.266800,8.266800,0
2004-06-04,8.266800,8.266800,8.236700,8.266700,8.266700,0
2004-06-07,null,null,null,null,null,null
2004-06-08,8.266700,8.266700,8.266700,8.266700,8.266700,0
2004-06-09,8.266700,8.266700,8.266700,8.266700,8.266700,0
2004-06-10,8.266700,8.266800,8.266700,8.266800,8.266800,0
2004-06-11,8.266800,8.266800,8.266700,8.266700,8.266700,0
2004-06-14,8.266700,8.266700,8.266600,8.266600,8.266600,0
2004-06-15,8.266600,8.266600,8.256600,8.266600,8.266600,0
2004-06-16,8.266600,8.266600,8.266600,8.266600,8.266600,0
2004-06-17,8.266600,8.266600,8.266600,8.266600,8.266600,0
2004-06-18,8.266600,8.266600,8.266600,8.266600,8.266600,0
2004-06-21,8.266600,8.266600,8.266600,8.266600,8.266600,0
2004-06-22,8.266600,8.266600,8.266600,8.266600,8.266600,0
2004-06-23,8.266600,8.266700,8.266600,8.266700,8.266700,0
2004-06-24,8.266700,8.266700,8.266600,8.266600,8.266600,0
2004-06-25,8.266700,8.266700,8.266700,8.266700,8.266700,0
2004-06-28,8.266700,8.266700,8.266600,8.266600,8.266600,0
2004-06-29,8.266600,8.266600,8.266600,8.266600,8.266600,0
2004-06-30,8.266600,8.266600,8.266600,8.266600,8.266600,0
2004-07-01,8.266600,8.266700,8.266600,8.266700,8.266700,0
2004-07-02,8.266700,8.266700,8.246600,8.266600,8.266600,0
2004-07-05,8.266600,8.266800,8.266600,8.266800,8.266800,0
2004-07-06,8.266800,8.266800,8.266800,8.266800,8.266800,0
2004-07-07,8.266800,8.266800,8.266800,8.266800,8.266800,0
